Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,3,"[0, 1, 3]",16,404,"[[ 0  0  2  4]
 [ 2 16  4  2]
 [32  4 64  8]
 [ 0  2  4  8]]","[[ 0  0  2  0]
 [ 2 16  4  4]
 [ 2  4 64  2]
 [32  2  4 16]]",False,True
0,0,2,"[0, 1, 2, 3]",8,412,"[[ 0  0  2  0]
 [ 2 16  4  4]
 [ 2  4 64  2]
 [32  2  4 16]]","[[ 0  0  2  2]
 [ 0  2 16  8]
 [ 2  4 64  2]
 [32  2  4 16]]",False,True
0,0,3,"[0, 1, 2]",-10,402,"[[ 0  0  2  2]
 [ 0  2 16  8]
 [ 2  4 64  2]
 [32  2  4 16]]","[[ 0  0  2  2]
 [ 0  2 16  8]
 [ 2  4 64  2]
 [32  2  4 16]]",False,True
0,0,0,"[0, 1, 2]",4,406,"[[ 0  0  2  2]
 [ 0  2 16  8]
 [ 2  4 64  2]
 [32  2  4 16]]","[[ 4  0  0  0]
 [ 2 16  8  2]
 [ 2  4 64  2]
 [32  2  4 16]]",False,True
0,0,3,"[1, 2, 3]",8,414,"[[ 4  0  0  0]
 [ 2 16  8  2]
 [ 2  4 64  2]
 [32  2  4 16]]","[[ 0  0  0  0]
 [ 4 16  8  2]
 [ 4  4 64  4]
 [32  2  4 16]]",False,True
0,0,1,"[0, 1, 2, 3]",8,422,"[[ 0  0  0  0]
 [ 4 16  8  2]
 [ 4  4 64  4]
 [32  2  4 16]]","[[ 8 16  8  2]
 [32  4 64  4]
 [ 0  2  4 16]
 [ 0  0  2  0]]",False,True
0,0,0,"[0, 2, 3]",0,422,"[[ 8 16  8  2]
 [32  4 64  4]
 [ 0  2  4 16]
 [ 0  0  2  0]]","[[ 8 16  8  2]
 [32  4 64  4]
 [ 2  4 16  0]
 [ 2  0  4  0]]",False,True
0,0,2,"[0, 1, 2, 3]",0,422,"[[ 8 16  8  2]
 [32  4 64  4]
 [ 2  4 16  0]
 [ 2  0  4  0]]","[[ 8 16  8  2]
 [32  4 64  4]
 [ 2  2  4 16]
 [ 0  0  2  4]]",False,True
0,0,3,"[0, 2, 3]",0,422,"[[ 8 16  8  2]
 [32  4 64  4]
 [ 2  2  4 16]
 [ 0  0  2  4]]","[[ 2  0  8  2]
 [ 8 16 64  4]
 [32  4  4 16]
 [ 2  2  2  4]]",False,True
0,0,3,"[0, 1, 2]",-10,412,"[[ 2  0  8  2]
 [ 8 16 64  4]
 [32  4  4 16]
 [ 2  2  2  4]]","[[ 2  0  8  2]
 [ 8 16 64  4]
 [32  4  4 16]
 [ 2  2  2  4]]",False,True
