Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,0,"[0, 1, 2]","[-0.05109475553035736, 0.10397672653198242, 0.07879187166690826, 0.20572897791862488]",1.8,67.09999999999998,"[[ 0  2  0  0]
 [ 4  4  0  0]
 [64  2  0  2]
 [ 2  8  2  4]]","[[ 2  0  0  0]
 [ 8  0  2  0]
 [64  4  0  0]
 [ 2  8  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[-0.05320027470588684, 0.11062279343605042, 0.0877663791179657, 0.22394782304763794]",1.0,68.09999999999998,"[[ 2  0  0  0]
 [ 8  0  2  0]
 [64  4  0  0]
 [ 2  8  2  4]]","[[ 2  0  0  2]
 [ 8  0  0  0]
 [64  4  0  0]
 [ 2  8  4  4]]",False
0,0,0,"[0, 1, 2, 3]","[-0.053679049015045166, 0.11161834001541138, 0.08855623006820679, 0.22596323490142822]",1.8,69.89999999999998,"[[ 2  0  0  2]
 [ 8  0  0  0]
 [64  4  0  0]
 [ 2  8  4  4]]","[[ 4  0  0  0]
 [ 8  0  2  0]
 [64  4  0  0]
 [ 2  8  8  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.053326405584812164, 0.09035151451826096, 0.08484235405921936, 0.19202561676502228]",2.2,72.09999999999998,"[[ 4  0  0  0]
 [ 8  0  2  0]
 [64  4  0  0]
 [ 2  8  8  0]]","[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]",False
0,0,1,[0],"[-0.08314024657011032, -0.1468823254108429, 0.02217385172843933, 0.3136388659477234]",-1,71.09999999999998,"[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]","[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]",False
0,0,2,[0],"[-0.08314024657011032, -0.1468823254108429, 0.02217385172843933, 0.3136388659477234]",-1,70.09999999999998,"[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]","[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]",False
0,0,0,[0],"[-0.08314024657011032, -0.1468823254108429, 0.02217385172843933, 0.3136388659477234]",0.6000000000000001,70.69999999999997,"[[ 0  0  2  4]
 [ 0  0  8  2]
 [ 0  0 64  4]
 [ 0  0  2 16]]","[[ 2  4  0  0]
 [ 8  2  0  0]
 [64  4  0  0]
 [ 2 16  0  2]]",False
0,0,1,"[0, 1, 2]","[-0.0679435059428215, 0.10240478813648224, 0.1061590388417244, 0.22456878423690796]",0.6000000000000001,71.29999999999997,"[[ 2  4  0  0]
 [ 8  2  0  0]
 [64  4  0  0]
 [ 2 16  0  2]]","[[ 2  4  0  2]
 [ 8  2  0  2]
 [64  4  0  0]
 [ 2 16  0  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.059319935739040375, 0.095683753490448, 0.09364243596792221, 0.20598581433296204]",1.0,72.29999999999997,"[[ 2  4  0  2]
 [ 8  2  0  2]
 [64  4  0  0]
 [ 2 16  0  0]]","[[ 2  2  4  2]
 [ 0  0  8  4]
 [ 0  0 64  4]
 [ 0  0  2 16]]",False
0,0,0,"[0, 1, 2, 3]","[-0.055198363959789276, -0.14511874318122864, -0.00849422812461853, 0.32898402214050293]",1.0,73.29999999999997,"[[ 2  2  4  2]
 [ 0  0  8  4]
 [ 0  0 64  4]
 [ 0  0  2 16]]","[[ 4  4  2  0]
 [ 8  4  0  0]
 [64  4  2  0]
 [ 2 16  0  0]]",False
0,0,3,"[0, 1, 2, 3]","[-0.06036338210105896, 0.0963854193687439, 0.09513992071151733, 0.20805799961090088]",1.8,75.09999999999997,"[[ 4  4  2  0]
 [ 8  4  0  0]
 [64  4  2  0]
 [ 2 16  0  0]]","[[ 4  2  0  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 2 16  4  0]]",False
0,0,0,"[1, 2]","[-0.059368014335632324, 0.12344777584075928, 0.09794151782989502, 0.24991106986999512]",-1,74.09999999999997,"[[ 4  2  0  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 2 16  4  0]]","[[ 4  2  0  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 2 16  4  0]]",False
0,0,2,"[1, 2]","[-0.059368014335632324, 0.12344777584075928, 0.09794151782989502, 0.24991106986999512]",0.6000000000000001,74.69999999999996,"[[ 4  2  0  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 2 16  4  0]]","[[ 0  0  4  2]
 [ 0  0  8  4]
 [ 0  0 64  8]
 [ 2  2 16  4]]",False
0,0,0,"[0, 1, 2]","[-0.15182141959667206, 0.024037092924118042, 0.2198067009449005, 0.41028881072998047]",1.0,75.69999999999996,"[[ 0  0  4  2]
 [ 0  0  8  4]
 [ 0  0 64  8]
 [ 2  2 16  4]]","[[ 4  2  2  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 4 16  4  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.056917816400527954, 0.11835291981697083, 0.09389933943748474, 0.2395969033241272]",1.0,76.69999999999996,"[[ 4  2  2  0]
 [ 8  4  0  0]
 [64  8  0  0]
 [ 4 16  4  0]]","[[ 2  0  4  4]
 [ 0  0  8  4]
 [ 0  0 64  8]
 [ 0  4 16  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.1840106099843979, 0.023583590984344482, 0.26126012206077576, 0.42936626076698303]",1.4000000000000001,78.09999999999997,"[[ 2  0  4  4]
 [ 0  0  8  4]
 [ 0  0 64  8]
 [ 0  4 16  4]]","[[ 2  4  4  8]
 [ 0  0  8  8]
 [ 0  2 64  4]
 [ 0  0 16  0]]",False
0,0,3,"[0, 1, 2, 3]","[-0.2304539680480957, 0.033488109707832336, 0.307503342628479, 0.3957594931125641]",2.2,80.29999999999997,"[[ 2  4  4  8]
 [ 0  0  8  8]
 [ 0  2 64  4]
 [ 0  0 16  0]]","[[ 2  0  4  0]
 [ 0  0  8  0]
 [ 0  4 64 16]
 [ 2  2 16  4]]",False
0,0,0,"[0, 1, 2, 3]","[-0.13589437305927277, 0.028475426137447357, 0.210937961935997, 0.3878329396247864]",1.0,81.29999999999997,"[[ 2  0  4  0]
 [ 0  0  8  0]
 [ 0  4 64 16]
 [ 2  2 16  4]]","[[ 2  4  2  0]
 [ 8  0  0  0]
 [ 4 64 16  0]
 [ 4 16  4  0]]",False
0,0,3,"[1, 2, 3]","[-0.27593493461608887, 0.15585362911224365, 0.3914724588394165, 0.5010411739349365]",1.4000000000000001,82.69999999999997,"[[ 2  4  2  0]
 [ 8  0  0  0]
 [ 4 64 16  0]
 [ 4 16  4  0]]","[[ 2  0  0  0]
 [ 2  4  2  0]
 [ 8 64 16  0]
 [ 8 16  4  0]]",False
0,0,0,"[1, 2, 3]","[-0.2574824094772339, 0.1687321662902832, 0.3688478469848633, 0.5043621063232422]",-1,81.69999999999997,"[[ 2  0  0  0]
 [ 2  4  2  0]
 [ 8 64 16  0]
 [ 8 16  4  0]]","[[ 2  0  0  0]
 [ 2  4  2  0]
 [ 8 64 16  0]
 [ 8 16  4  0]]",False
